 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    ScrewSat     910                 202                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    VariSat      195                 57                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    Splr         330                 31                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_3    BatSat       165                 25                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    ScrewSat     467                 164                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    VariSat      173                 87                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    Splr         221                 72                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_4    BatSat       112                 45                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    ScrewSat     1047                216                 UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    VariSat      518                 57                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    Splr         3047                35                  UNSAT 
 almost_symmetric_network_6_orgs_delete_prob_factor_5    BatSat       638                 46                  UNSAT 
 almost_symmetric_network_8_orgs_                        ScrewSat     1136                101                 UNSAT 
 almost_symmetric_network_8_orgs_                        VariSat      387                 107                 UNSAT 
 almost_symmetric_network_8_orgs_                        Splr         492                 147                 UNSAT 
 almost_symmetric_network_8_orgs_                        BatSat       238                 90                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    ScrewSat     1281                141                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    VariSat      292                 145                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    Splr         492                 78                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_1    BatSat       375                 60                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    ScrewSat     1312                273                 UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    VariSat      255                 63                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    Splr         822                 98                  UNSAT 
 almost_symmetric_network_8_orgs_delete_prob_factor_2    BatSat       212                 90                  UNSAT 
